Series Code,Series Name,Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
I51,"Full-time equivalent telecommunication employees, total ",CAF,Central African Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,640,..,600,579,558,553,..,572,..,379,362,367,381,379,395,402,401,388,391,409,402,400,370,390,400,416,..,..,1159,1275,1316,..,..,965
I51,"Full-time equivalent telecommunication employees, total ",TCD,Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200,190,187,240,..,185,..,419,431,448,362,327,357,333,338,343,400,504,655,600,610,..,..,..,..,..,..,..,..,1012,1207,1117
I51,"Full-time equivalent telecommunication employees, total ",CHL,Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11399,11686,11445,11344,11165,10637,10000,9391,8632,8973,10713,10945,11264,11315,8900,9820,10369,10525,11309,12947,12679,13898,15526,18227,20261,21277,19855,19391,..,..,10679,18705,30260,31060,31592,36513,47608,50545,52356,..
I51,"Full-time equivalent telecommunication employees, total ",CHN,China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,371700,386700,394800,435700,447000,465800,490600,504100,521100,445000,463000,472000,474189,486518,495690,507000,531296,559089,467973,484264,479465,481364,467746,444543,685000,..,..,672970,721511,707000,718009,743000,696753,847000,846092,..,..,..,..,1267904
I51,"Full-time equivalent telecommunication employees, total ",COL,Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13300,13950,13950,14380,14380,15200,23097,..,22947,23804,24398,24392,24312,25148,25202,25113,25200,25420,25420,25780,20929,20342,25455,35350,44098,39100,32197,..,..,..,..,..,..,..,106522,..,49364,51945,..,..
I51,"Full-time equivalent telecommunication employees, total ",COM,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186,224,230,236,230,199,122,136,148,140,140,125,123,121,150,172,..,606,515,628,778,887,1017,1132,1316,..,..
I51,"Full-time equivalent telecommunication employees, total ",COG,Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,915,920,..,1087,1536,1087,1046,1040,1008,..,885,921,921,..,..,..,..,..,..,..,..,..,..,..,..,..,1320,1185,1239,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ZAR,Congo (Democratic Republic of the),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8000,8000,..,..,..,6569,..,..,..,..,..,..,1900,..,..,..,..,..,..,..,3900,1779,1931,1477,1818,2027,1870,2142,1718,2068,2000,2500
I51,"Full-time equivalent telecommunication employees, total ",CRI,Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2020,1980,2080,2310,2720,2650,2684,2649,2755,2824,3059,3168,3162,3174,3260,3267,3210,3325,3927,4412,4526,4497,4409,4492,4517,4807,4137,4876,4965,5840,5422,5572,6265,6694,6926,8296,9618,9900,10442,11002
I51,"Full-time equivalent telecommunication employees, total ",CIV,Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2879,..,..,..,..,..,3854,3939,4010,3875,3925,3887,3812,3779,3730,3596,3408,3567,3641,3720,3897,3837,3702,3408,2850,2950,3000,3260,3306,3984,3793,3622,3592,3396,3451
I51,"Full-time equivalent telecommunication employees, total ",HRV,Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8853,8538,8785,9008,9109,9486,9842,10373,10930,10842,..,..,10700,11000,11600,10250,9950,8850,8700,8350,8286,8575,8282,8190,7481
I51,"Full-time equivalent telecommunication employees, total ",CUB,Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21700,13691,16900,17353,15686,15686,15550,15580,16472,15033,16724,16700,16685,17617,17288,16970,..,16556,16359,16751,16735,15988,15336,16008,16716
I51,"Full-time equivalent telecommunication employees, total ",CUW,Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",CYP,Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1804,1967,2079,2062,2012,2048,2060,2246,2239,2308,2325,2354,2352,2354,2353,2341,2379,2395,2392,2403,2426,2417,2410,2506,..,2895,3138,3021,3178,3157,3179,3143,3107,2808
I51,"Full-time equivalent telecommunication employees, total ",CZE,Czech Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28870,24821,25113,28879,29847,27148,27218,24490,23685,23560,24529,24012,22755,20330,19527,17374,19002,19750,19414,21600,20100,19600,18000,17800
I51,"Full-time equivalent telecommunication employees, total ",PRK,Dem. People's Rep. of Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19000,..,..,..,15000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",DNK,Denmark,..,..,..,..,..,16075,..,..,..,..,12326,..,..,..,..,11681,11833,11902,11950,12396,12665,12734,12685,12668,17024,17024,18492,18997,18556,18110,17710,17849,17195,16355,16280,16081,16126,17170,17336,19750,21330,22405,21873,20471,19739,18561,16597,17700,17244,16595,15740,14949,14104,13607,12950
I51,"Full-time equivalent telecommunication employees, total ",DJI,Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1730,..,244,283,285,376,372,377,463,479,473,473,456,480,480,480,514,472,437,395,525,557,..,588,600,650,647,707,811,867,936,1088,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",DMA,Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115,159,..,..,..,..,..,205,..,216,215,215,221,222,..,173,168,..,..,..,..,..,..,294,273,301,271,185,..,..,213,..
I51,"Full-time equivalent telecommunication employees, total ",DOM,Dominican Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1902,1887,1770,1730,1863,2000,2770,3514,..,6191,..,6086,7110,6989,5730,5000,4200,4131,3812,..,16235,..,..,..,..,..,..,..,..,6982,7104,8468,8866,9334,8192
I51,"Full-time equivalent telecommunication employees, total ",ECU,Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4628,4627,4725,4696,5400,5447,5278,5942,5971,5991,6027,5931,6093,6605,6628,6637,5577,5198,4594,5064,5700,6824,6901,6981,4865,..,..,7735,12000,20000,..,..,..,..,9792,10165,11057,10555
I51,"Full-time equivalent telecommunication employees, total ",EGY,Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51105,55666,59951,..,57617,53243,53991,55505,54590,54419,52705,52890,52383,52291,51750,51981,55647,55524,54922,54810,53108,53108,54657,52533,59485,62119,65661,65585,64015,63233,65619,64166,63518
I51,"Full-time equivalent telecommunication employees, total ",SLV,El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4979,4201,5449,5756,5675,5753,5895,6000,6502,7223,7079,6692,6869,6813,5800,5426,5382,4336,4078,4235,3859,3568,3325,3137,2862,2997,4357,3529,3153,..,2897,..,..,3302
I51,"Full-time equivalent telecommunication employees, total ",GNQ,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,341,300,296,300,109,110,124,150,170,200,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",ERI,Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,519,521,556,624,660,628,578,463,453,476,641,638,832,977,1084,1160,1271,1528,1612,1638,1918,1929,..
I51,"Full-time equivalent telecommunication employees, total ",EST,Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4780,4770,4373,4380,4088,3784,3755,3671,2702,3047,2319,3500,2845,2759,2943,3078,3504,4076,3270,3193,3638,3887,3657,3788
I51,"Full-time equivalent telecommunication employees, total ",ETH,Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3500,3910,4110,4320,4510,4605,4691,4825,4940,5036,5188,5295,5403,5593,5884,5930,6004,5492,5296,5222,5496,5463,5619,6086,6573,7083,7370,7580,7913,8619,9778,11234,11644,12260,12384,12842,8560,8593,..,11966
I51,"Full-time equivalent telecommunication employees, total ",FRO,Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,120,..,126,141,182,185,179,176,175,195,185,177,182,197,197,219,236,246,257,258,268,290,300,300,290,280,250,240,235,..,..
I51,"Full-time equivalent telecommunication employees, total ",FJI,Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,878,951,1001,1091,1195,1271,1283,1274,1356,1315,1572,1518,1450,935,935,950,950,1106,1068,1061,1096,1183,1197,1354,1585,2000,..,..,..,..,..,..,..,..,..,..,672,..
I51,"Full-time equivalent telecommunication employees, total ",FIN,Finland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20765,20877,21009,20882,20864,20916,20828,20918,20794,20647,20067,19112,16120,15153,15698,16405,16856,17976,19448,21601,24190,25015,22004,17433,17422,16385,14487,13385,11969,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",FRA,France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,142000,150000,158000,156400,159800,163900,165300,166200,166788,165198,163682,159521,157313,155814,156110,155300,154900,152455,168072,166147,164511,155992,155297,154522,151191,146200,138716,142296,140410,133114,129900,126100,124009,126557,128820,129060,125040,121876
I51,"Full-time equivalent telecommunication employees, total ",GUF,French Guiana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135,134,137,144,157,214,227,237,239,255,255,253,268,270,281,283,..,..,..,..,..,..,264,256,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",PYF,French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120,142,148,171,182,185,215,268,290,311,329,348,369,..,..,681,704,789,813,826,820,817,871,799,850,888,927,913,..,..,..,..,..,..,..,..,..,..,768,785
I51,"Full-time equivalent telecommunication employees, total ",GAB,Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,448,500,..,..,..,..,..,796,665,713,745,791,800,788,773,1113,1062,1062,1152,1934,2101,2165,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",GMB,Gambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,370,390,410,..,436,525,547,685,695,630,758,766,759,892,888,928,940,960,1114,..,..,..,..,1823,..,2139,2384,2428,..,..,2177
I51,"Full-time equivalent telecommunication employees, total ",GEO,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14000,13900,14000,13960,13400,7700,8606,9148,9155,9965,10214,10202,16500,..,8970,8850,..,8900,..,..,8883,9361,10318,11642,12087
I51,"Full-time equivalent telecommunication employees, total ",DEU,Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,185000,177000,178000,183000,190000,195000,199774,203751,204718,207693,212364,214349,216020,216156,216210,212205,230000,232600,233600,227600,229700,222000,219200,220000,221400,240700,240500,231500,230600,225300,224100,214700,204600,188100,184200,176900,175200,173000,170000,169000
I51,"Full-time equivalent telecommunication employees, total ",GHA,Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5100,4854,..,4431,4431,4454,4468,4456,3711,3880,3811,3729,3377,3452,3555,3469,3606,3777,3959,4833,4885,..,5678,..,6328,6581,4904,4707,4779,4975,..,..
I51,"Full-time equivalent telecommunication employees, total ",GIB,Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,101,148,101,101,101,101,100,97,96,99,107,149,149,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",GRC,Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24900,26800,28600,28700,28800,30200,31680,31148,30995,30602,30571,29595,29444,30327,29654,28086,27593,26716,26349,26140,24581,23808,22741,21925,21588,25717,26033,24700,26608,26347,24420,22397,22831,23352,22112,21779,21954,18831,15781,15687
I51,"Full-time equivalent telecommunication employees, total ",GRL,Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,503,501,462,468,449,454,444,444,436,629,618,648,648,437,..,..,..,..,..,358,378,389,374,360,..,..
I51,"Full-time equivalent telecommunication employees, total ",GRD,Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,90,..,32,28,29,..,..,..,..,211,199,213,241,245,272,260,278,267,269,267,212,..,..,..,..,207,216,204,298,273,..,..,..,187
I51,"Full-time equivalent telecommunication employees, total ",GUM,Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,428,440,435,382,443,463,..,..,..,402,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",GTM,Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3563,3600,3900,3682,4007,4492,4518,4623,4931,5181,4862,4749,4939,5333,6032,5537,5496,5204,2881,3786,3534,3205,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",AAA,Guernsey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,271,268,262,264,263,263,274,274,273,279,281,292,..,..,..,..,..,..,..,..,..,..,..,..,..
I51,"Full-time equivalent telecommunication employees, total ",GIN,Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1373,1380,..,..,..,1400,1623,1157,1090,1083,844,853,854,846,836,816,831,810,806,780,..,..,..,..,..,..,..,..,..,5765,..,..
