"","country","country_name","iso2c","year","b","se","pop.dens","gov.exp","trade","gdp.growth","gdppc","fem.lab","pop","non.agri","net100hab","bb100hab","mobile100hab","fixed100hab"
"48","ARG","Argentina","AR",2009,-0.970397593362195,0.0643352193242824,14.7926100508278,15.903896746884,34.0571269054879,-5.91852507634947,21520.0810753219,41.8192191215302,40482788,94.7263765310986,34,8.67288586942184,129.642207448756,24.1291064241919
"49","ARG","Argentina","AR",2010,-0.97035815645991,0.0646027138587423,14.904301546759,15.1637178886417,34.9710132635696,10.1253981561002,23521.4762303945,41.3839589223488,40788453,92.8678325492104,45,9.85001571801394,139.580017993067,24.2426352741967
"50","ARG","Argentina","AR",2011,-0.971609159725211,0.0647367855478388,15.0771515955406,15.6889565165983,35.2061549999644,6.00395169280579,24647.8451965879,41.4441797960581,41261490,93.0012662297748,51,11.0647814039036,146.955455524498,23.5295434469573
"51","ARG","Argentina","AR",2012,-0.973469675204545,0.0648150917605825,15.2495426957383,16.6454378106252,30.5265423717108,-1.02642045443208,24119.0788063702,41.599605177296,41733271,94.2182557931499,55.8,12.3304007482087,154.059022977643,22.6454187881192
"52","ARG","Argentina","AR",2013,-0.975297031460114,0.0649064675067755,15.421160233713,16.8062377968797,29.3339290021037,2.40532378079436,24424.3504112585,41.4418411787855,42202935,93.9470815632955,59.9,14.814237263553,159.63946134269,22.8980878058907
"53","ARG","Argentina","AR",2014,-0.977090249436957,0.0650183178560055,15.5916453818299,16.9498757371062,28.4067936452275,-2.51261532081396,23550.3053677879,41.2453685739753,42669500,93.2872964857144,64.7,15.2904281865797,143.615831608932,23.0371444524517
"54","ARG","Argentina","AR",2015,-0.978846429227878,0.0651509552932977,15.7606327351655,18.098379759087,22.4862260889792,2.73115982828946,23934.0962820711,41.609166560609,43131966,94.8433140978592,68.0430641088122,15.9158927217325,143.566834038237,23.384858314543
"55","ARG","Argentina","AR",2016,-0.980567117455043,0.0653048217403223,15.9281350828921,17.654578186351,26.0938878488799,-2.08032784377811,23189.7305942385,41.9785045550336,43590368,93.7354341798975,70.96898082,16.6016632167629,146.453827600425,23.3629252793595
"56","ARG","Argentina","AR",2017,-0.982244936980091,0.0654797051381863,16.0941907925267,17.6660934639744,25.2233319634767,2.66859037935303,23562.9188342608,42.3421908976806,44044811,94.5216177705466,74.29490687,17.8499966087916,140.877123545137,22.1779751708919
"57","ARG","Argentina","AR",2018,-0.983994451583145,0.0655656535144245,16.2585100979651,16.0787132800437,30.7004460241825,-2.48179244509274,22745.9037844103,43.0035458898206,44494502,93.9028710523633,NA,19.1015223906504,132.093151327231,22.0102815188515
